model_id;algorithm;is_broken
4;ga;True
4;ga;True
4;rppo;True
4;single;True
4;es;False
4;es;False
4;es;False
4;es;False
4;es;False
4;ga;False
4;ga;False
4;ga;False
4;ga;False
4;rppo;False
4;single;False
50;es;True
50;es;True
50;es;True
50;es;True
50;ga;True
50;ga;True
50;ga;True
50;ga;True
50;ga;True
50;single;True
50;es;False
50;es;False
50;es;False
50;ga;False
50;ga;False
50;ga;False
50;ga;False
50;ga;False
50;single;False
631;es;False
631;es;False
631;es;False
631;ga;False
631;ga;False
631;ga;False
631;ga;False
631;single;False
631;es;False
631;es;False
631;es;False
631;ga;False
631;ga;False
631;ga;False
631;ga;False
631;single;False
69;es;True
69;es;True
69;es;True
69;es;True
69;es;True
69;ga;True
69;ga;True
69;ga;True
69;ga;True
69;ga;True
69;rppo;True
69;single;True
69;es;True
69;es;True
69;es;True
69;es;True
69;ga;True
69;ga;True
69;ga;True
69;rppo;True
69;single;True
10;es;True
10;es;True
10;es;True
10;es;True
10;es;True
10;ga;True
10;ga;True
10;ga;True
10;ga;True
10;ga;True
10;rppo;True
10;single;True
10;es;False
10;es;False
10;es;False
10;es;False
10;es;False
10;ga;True
10;ga;True
10;ga;True
10;ga;True
10;ga;True
10;rppo;True
10;single;False
16;es;False
16;es;False
16;es;False
16;es;False
16;es;False
16;ga;False
16;ga;False
16;ga;False
16;ga;False
16;ga;False
16;rppo;False
16;single;False
16;es;False
16;es;False
16;es;False
16;ga;False
16;ga;False
16;ga;False
16;ga;False
16;ga;False
16;rppo;False
16;single;False
204;es;False
204;es;False
204;es;False
204;es;False
204;ga;True
204;ga;True
204;ga;True
204;ga;True
204;single;True
204;es;False
204;es;False
204;es;False
204;es;False
204;ga;False
204;ga;False
204;ga;False
204;ga;False
204;single;False
22;es;True
22;es;True
22;ga;True
22;ga;True
22;ga;True
22;rppo;True
22;single;True
22;es;True
22;es;True
22;es;True
22;ga;True
22;ga;True
22;ga;True
22;rppo;True
22;single;True
23;es;False
23;es;False
23;es;False
23;ga;False
23;ga;False
23;ga;True
23;rppo;False
23;single;False
23;es;True
23;es;True
23;ga;True
23;ga;True
23;ga;True
23;rppo;True
23;single;True
26;es;True
26;es;True
26;es;True
26;ga;True
26;ga;True
26;ga;True
26;rppo;True
26;single;True
26;es;True
26;es;True
26;es;True
26;ga;True
26;ga;True
26;ga;True
26;rppo;True
26;single;True
27;es;False
27;es;False
27;es;False
27;es;False
27;ga;False
27;ga;False
27;ga;False
27;ga;False
27;rppo;False
27;single;False
27;es;False
27;es;False
27;es;False
27;es;False
27;ga;True
27;ga;True
27;ga;True
27;ga;True
27;ga;True
27;single;True
29;es;False
29;es;False
29;es;False
29;es;False
29;ga;False
29;ga;False
29;ga;False
29;ga;False
29;ga;False
29;single;False
29;es;False
29;es;False
29;es;False
29;es;False
29;ga;False
29;ga;False
29;ga;False
29;ga;False
29;ga;False
29;single;False
3;es;False
3;es;False
3;es;False
3;es;False
3;es;False
3;ga;False
3;ga;False
3;ga;False
3;ga;False
3;ga;False
3;rppo;True
3;single;False
3;es;False
3;es;False
3;es;False
3;es;False
3;ga;False
3;ga;False
3;ga;False
3;ga;False
3;rppo;False
3;single;False
31;es;False
31;es;False
31;es;False
31;es;False
31;ga;True
31;ga;True
31;ga;True
31;ga;True
31;ga;True
31;single;True
37;es;False
37;es;False
37;es;False
37;es;False
37;ga;True
37;ga;True
37;ga;True
37;ga;True
37;ga;True
37;single;True
37;es;False
37;es;False
37;es;False
37;es;False
37;ga;True
37;ga;True
37;ga;True
37;ga;True
37;single;False
4;es;False
4;es;False
4;es;False
4;es;False
4;es;False
4;ga;True
4;ga;True
4;ga;True
4;rppo;True
4;single;True
4;es;False
4;es;False
4;es;False
4;es;False
4;es;False
4;ga;False
4;ga;False
4;ga;False
4;ga;False
4;rppo;False
4;single;False
50;es;True
50;es;True
50;es;True
50;es;True
50;ga;True
50;ga;True
50;ga;True
50;ga;True
50;ga;True
50;single;True
50;es;False
50;es;False
50;es;False
50;ga;False
50;ga;False
50;ga;False
50;ga;False
50;ga;False
50;single;False
631;es;False
631;es;False
631;es;False
631;ga;False
631;ga;False
631;ga;False
631;ga;False
631;single;False
631;es;False
631;es;False
631;es;False
631;ga;False
631;ga;False
631;ga;False
631;ga;False
631;single;False
69;es;True
69;es;True
69;es;True
69;es;True
69;es;True
69;ga;True
69;ga;True
69;ga;True
69;ga;True
69;ga;True
69;rppo;True
69;single;True
69;es;True
69;es;True
69;es;True
69;es;True
69;ga;True
69;ga;True
69;ga;True
69;rppo;True
69;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;False
10;single;False
10;single;False
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;False
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;True
10;single;True
10;single;False
10;single;False
10;single;True
10;single;True
10;single;False
10;single;False
10;single;True
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;False
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;False
10;single;False
10;single;False
10;single;True
10;single;False
10;single;False
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
10;single;True
16;single;False
16;single;False
16;single;False
16;single;True
16;single;True
16;single;True
16;single;True
16;single;True
16;single;True
16;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;False
204;single;False
204;single;False
204;single;False
204;single;False
204;single;False
204;single;False
204;single;True
204;single;False
204;single;False
204;single;False
204;single;False
204;single;True
204;single;False
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
204;single;True
22;single;True
22;single;True
22;single;True
22;single;True
22;single;True
22;single;True
22;single;True
22;single;True
22;single;True
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;True
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;True
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;True
23;single;True
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;True
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;False
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
23;single;True
